SAP Linkage No,YHQ Sales Order No,yhq Sales Order Item No,Order Type,Model,Qty,QIC Delivery Style,"Contractor
Corporate
ID",P/O  No.,"Customer's
P/O No.","Delivery
Customer
Id","End user
Country
Code","Estimated
FOB","yhq
Sales
Date
(On or about
Ship date)",Remarks,Ship Point,MS Code,Production Center,"Ship Point 
(ship from 
factory)",Order No,Item No,"Start
Manufacturing
Date","Instructed
Complete
Date","Complete
Date",Actual Date,"Current
Status"
1.01E+15,2007489446,470,Y101,ANB11D,1,,L2Q00,4509178041,4509178041,C2Q00012,IN,9/24/2021,,,1009,ANB11D-225/BU2A,YAS,3U12,2007673517,10,8/27/2021,9/14/2021,9/13/2021,,Available
1.01E+15,2007489446,480,Y101,EC402,2,,L2Q00,4509178041,4509178041,C2Q00012,IN,9/26/2021,,,1009,EC402-50,YAS,3U12,2007673517,20,8/26/2021,9/16/2021,9/7/2021,,Available
1.01E+15,2007489446,490,Y101,ANB10D,1,,L2Q00,4509178041,4509178041,C2Q00012,IN,9/24/2021,,,1009,ANB10D-425/CU2N,YAS,3U12,2007673517,30,8/25/2021,9/14/2021,9/13/2021,,Available
1.01E+15,2007489446,500,Y101,ANB10D,1,,L2Q00,4509178041,4509178041,C2Q00012,IN,9/24/2021,,,1009,ANB10D-425/CU2T,YAS,3U12,2007673517,40,8/25/2021,9/14/2021,9/13/2021,,Available
1.01E+15,2007489446,510,Y101,ANT401,2,,L2Q00,4509178041,4509178041,C2Q00012,IN,9/26/2021,,,1009,ANT401-50,YAS,3U12,2007673517,50,8/26/2021,9/16/2021,9/9/2021,,Available
1.01E+15,2007489446,520,Y101,A2EE2A,2,,L2Q00,4509178041,4509178041,C2Q00012,IN,9/17/2021,,,1009,A2EE2A-T,YAS,3U12,2007673517,60,8/26/2021,9/7/2021,9/7/2021,,Available
1.01E+15,2007489446,530,Y101,YCB301,6,,L2Q00,4509178041,4509178041,C2Q00012,IN,9/18/2021,,,1009,YCB301-C020,YAS,3U12,2007673517,70,8/25/2021,9/8/2021,9/3/2021,,Available
1.01E+15,2007489446,540,Y101,AAB841,4,,L2Q00,4509178041,4509178041,C2Q00012,IN,9/18/2021,,,1009,AAB841-S50/M4A00,YAS,3U12,2007673517,80,8/26/2021,9/8/2021,9/7/2021,,Available
1.01E+15,2007489446,550,Y101,AAV141,4,,L2Q00,4509178041,4509178041,C2Q00012,IN,9/18/2021,,,1009,AAV141-S50/K4A00,YAS,3U12,2007673517,90,8/26/2021,9/8/2021,9/6/2021,,Available
1.01E+15,2007489446,560,Y101,ALR121,2,,L2Q00,4509178041,4509178041,C2Q00012,IN,9/18/2021,,,1009,ALR121-S50,YAS,3U12,2007673517,100,8/26/2021,9/8/2021,9/6/2021,,Available
1.01E+15,2007489446,570,Y101,ADV161,3,,L2Q00,4509178041,4509178041,C2Q00012,IN,9/18/2021,,,1009,ADV161-P50,YAS,3U12,2007673517,110,8/26/2021,9/8/2021,,,
1.01E+15,2007489446,580,Y101,ADV561,2,,L2Q00,4509178041,4509178041,C2Q00012,IN,9/18/2021,,,1009,ADV561-P50,YAS,3U12,2007673517,120,8/26/2021,9/8/2021,,,
1.01E+15,2007489446,590,Y101,ADCV01,9,,L2Q00,4509178041,4509178041,C2Q00012,IN,9/18/2021,,,1009,ADCV01,YAS,3U12,2007673517,130,8/26/2021,9/8/2021,9/6/2021,,Available
1.01E+15,2007489446,600,Y101,KS1,4,,L2Q00,4509178041,4509178041,C2Q00012,IN,10/1/2021,,,1009,KS1-20*B,YAS,3U12,2007673517,140,9/6/2021,9/21/2021,,,
1.01E+15,2007489446,610,Y101,KS2,4,,L2Q00,4509178041,4509178041,C2Q00012,IN,9/24/2021,,,1009,KS2-20*B,YAS,3U12,2007673517,150,8/31/2021,9/14/2021,,,
1.01E+15,2007489446,620,Y101,AKB337,10,,L2Q00,4509178041,4509178041,C2Q00012,IN,9/24/2021,,,1009,AKB337-M020,YAS,3U12,2007673517,160,8/31/2021,9/14/2021,,,
1.01E+15,2007678163,10,Y101,AFV30D,1,,L2Q00,4509408252,4509408252,C2Q00012,IN,9/30/2021,,,1009,AFV30D-A41252,YAS,3U12,2007678170,10,8/27/2021,9/20/2021,9/10/2021,,Available
1.01E+15,2007678163,20,Y101,EC401,2,,L2Q00,4509408252,4509408252,C2Q00012,IN,9/30/2021,,,1009,EC401-50,YAS,3U12,2007678170,20,8/26/2021,9/20/2021,9/7/2021,,Available
1.01E+15,2007678163,30,Y101,YCB301,8,,L2Q00,4509408252,4509408252,C2Q00012,IN,9/30/2021,,,1009,YCB301-C020,YAS,3U12,2007678170,30,9/1/2021,9/20/2021,9/6/2021,,Available
1.01E+15,2007678163,40,Y101,YCB301,2,,L2Q00,4509408252,4509408252,C2Q00012,IN,9/30/2021,,,1009,YCB301-C100,YAS,3U12,2007678170,40,9/1/2021,9/20/2021,9/6/2021,,Available
1.01E+15,2007678163,50,Y101,YCB301,2,,L2Q00,4509408252,4509408252,C2Q00012,IN,9/30/2021,,,1009,YCB301-C300,YAS,3U12,2007678170,50,9/1/2021,9/20/2021,9/6/2021,,Available
1.01E+15,2007678163,60,Y101,ANB10D,5,,L2Q00,4509408252,4509408252,C2Q00012,IN,9/30/2021,,,1009,ANB10D-425/CU2N,YAS,3U12,2007678170,60,8/27/2021,9/20/2021,9/9/2021,,Available
1.01E+15,2007678163,70,Y101,ANB10D,1,,L2Q00,4509408252,4509408252,C2Q00012,IN,9/30/2021,,,1009,ANB10D-425/CU2T,YAS,3U12,2007678170,70,8/27/2021,9/20/2021,9/9/2021,,Available
1.01E+15,2007678163,80,Y101,AAV141,15,,L2Q00,4509408252,4509408252,C2Q00012,IN,9/30/2021,,,1009,AAV141-S50/K4A00,YAS,3U12,2007678170,80,8/26/2021,9/20/2021,9/8/2021,,Available
1.01E+15,2007678163,90,Y101,AAB841,14,,L2Q00,4509408252,4509408252,C2Q00012,IN,9/30/2021,,,1009,AAB841-S50/M4A00,YAS,3U12,2007678170,90,8/26/2021,9/20/2021,9/8/2021,,Available
1.01E+15,2007678163,100,Y101,AAR145,13,,L2Q00,4509408252,4509408252,C2Q00012,IN,9/30/2021,,,1009,AAR145-S50,YAS,3U12,2007678170,100,8/31/2021,9/20/2021,9/13/2021,,Available
1.01E+15,2007678163,110,Y101,ADV161,6,,L2Q00,4509408252,4509408252,C2Q00012,IN,12/20/2021,,,1009,ADV161-P50,YAS,3U12,2007678170,110,,12/10/2021,,,
1.01E+15,2007678163,120,Y101,ADV561,6,,L2Q00,4509408252,4509408252,C2Q00012,IN,12/20/2021,,,1009,ADV561-P50,YAS,3U12,2007678170,120,,12/10/2021,,,
1.01E+15,2007678163,130,Y101,KS8,13,,L2Q00,4509408252,4509408252,C2Q00012,IN,9/30/2021,,,1009,KS8-05*B,YAS,3U12,2007678170,130,9/6/2021,9/20/2021,,,
1.01E+15,2007678163,140,Y101,VI702,3,,L2Q00,4509408252,4509408252,C2Q00012,IN,9/30/2021,,,1009,VI702,YAS,3U12,2007678170,140,9/13/2021,9/20/2021,,,
1.01E+15,2007678163,150,Y101,ADV161,2,,L2Q00,4509408252,4509408252,C2Q00012,IN,12/20/2021,,,1009,ADV161-P50,YAS,3U12,2007678170,150,,12/10/2021,,,
1.01E+15,2007610486,220,Y101,RVSVRN,2,,L2Q00,4509327363,4509327363,C2Q00012,IN,9/8/2021,9/1/2021,,1022,RVSVRN-S11-SG,YMG,5881,2007674337,10,8/24/2021,8/31/2021,8/26/2021,8/27/2021,Ship Out
1.01E+15,2007610486,230,Y101,ACCFSTN,2,,L2Q00,4509327363,4509327363,C2Q00012,IN,9/8/2021,9/1/2021,,1022,ACCFSTN-S11-DAS,YMG,5881,2007674337,20,8/24/2021,8/31/2021,8/26/2021,8/27/2021,Ship Out
1.01E+15,2007610486,240,Y101,HMIWEB,9,,L2Q00,4509327363,4509327363,C2Q00012,IN,9/8/2021,9/1/2021,,1022,HMIWEB-S11-S01,YMG,5881,2007674337,30,8/24/2021,8/31/2021,8/26/2021,8/27/2021,Ship Out
1.01E+15,2007610486,250,Y101,AUDFSTN,2,,L2Q00,4509327363,4509327363,C2Q00012,IN,9/8/2021,9/1/2021,,1022,AUDFSTN-S11,YMG,5881,2007674337,40,8/24/2021,8/31/2021,8/26/2021,8/27/2021,Ship Out
1.01E+15,2007610486,260,Y101,EQP,2,,L2Q00,4509327363,4509327363,C2Q00012,IN,9/8/2021,9/1/2021,,1022,EQP-S11-XCS,YMG,5881,2007674337,50,8/24/2021,8/31/2021,8/26/2021,8/27/2021,Ship Out
1.01E+15,2007650158,20,Y101,VP6F3100,18,,L2Q00,4509371015,4509371015,C2Q00012,IN,9/15/2021,9/13/2021,,1009,VP6F3100-V11,YAS,3U12,2007675416,10,8/25/2021,9/6/2021,9/3/2021,9/13/2021,Ship Out
1.01E+15,2007650158,30,Y101,VP6F1700,3,,L2Q00,4509371015,4509371015,C2Q00012,IN,9/15/2021,9/13/2021,,1009,VP6F1700-V11C02,YAS,3U12,2007675416,20,8/25/2021,9/6/2021,9/3/2021,9/13/2021,Ship Out
1.01E+15,2007650158,40,Y101,VP6H1100,1,,L2Q00,4509371015,4509371015,C2Q00012,IN,9/15/2021,9/13/2021,,1009,VP6H1100-V11N05,YAS,3U12,2007675416,30,8/25/2021,9/6/2021,9/3/2021,9/13/2021,Ship Out
1.01E+15,2007650158,50,Y101,VP6H6510,2,,L2Q00,4509371015,4509371015,C2Q00012,IN,9/15/2021,9/13/2021,,1009,VP6H6510-V11,YAS,3U12,2007675416,40,8/25/2021,9/6/2021,9/3/2021,9/13/2021,Ship Out
1.01E+15,2007650158,60,Y101,VP6H4600,1,,L2Q00,4509371015,4509371015,C2Q00012,IN,9/15/2021,9/13/2021,,1009,VP6H4600-V11,YAS,3U12,2007675416,50,8/25/2021,9/6/2021,9/3/2021,9/13/2021,Ship Out
1.01E+15,2007650158,70,Y101,VP6H1100,8,,L2Q00,4509371015,4509371015,C2Q00012,IN,9/15/2021,9/13/2021,,1009,VP6H1100-E11N45,YAS,3U12,2007675416,60,8/25/2021,9/6/2021,9/3/2021,9/13/2021,Ship Out
1.01E+15,2007650158,80,Y101,VP6E51AD,1,,L2Q00,4509371015,4509371015,C2Q00012,IN,9/15/2021,9/13/2021,,1009,VP6E51AD-E31N35,YAS,3U12,2007675416,70,8/25/2021,9/6/2021,9/3/2021,9/13/2021,Ship Out
1.01E+15,2007669582,80,Y101,VI702,4,,L2Q00,4509397804,4509397804,C2Q00012,IN,9/15/2021,9/13/2021,,1009,VI702,YAS,3U12,2007670246,80,8/25/2021,9/6/2021,9/2/2021,9/13/2021,Ship Out
1.01E+15,2007669582,30,Y101,YCB301,2,,L2Q00,4509397804,4509397804,C2Q00012,IN,9/18/2021,,,1009,YCB301-C300,YAS,3U12,2007670246,30,8/25/2021,9/8/2021,9/3/2021,,Available
1.01E+15,2007669582,40,Y101,ADCV01,2,,L2Q00,4509397804,4509397804,C2Q00012,IN,9/18/2021,,,1009,ADCV01,YAS,3U12,2007670246,40,8/26/2021,9/8/2021,9/6/2021,,Available
1.01E+15,2007669582,50,Y101,AFV30D,1,,L2Q00,4509397804,4509397804,C2Q00012,IN,9/24/2021,,,1009,AFV30D-A41152,YAS,3U12,2007670246,50,8/27/2021,9/14/2021,9/10/2021,,Available
1.01E+15,2007669582,60,Y101,SB401,2,,L2Q00,4509397804,4509397804,C2Q00012,IN,9/18/2021,,,1009,SB401-50,YAS,3U12,2007670246,60,8/26/2021,9/8/2021,9/6/2021,,Available
1.01E+15,2007669582,70,Y101,A2EE1A,2,,L2Q00,4509397804,4509397804,C2Q00012,IN,9/17/2021,,,1009,A2EE1A-N,YAS,3U12,2007670246,70,8/26/2021,9/7/2021,9/7/2021,,Available
1.01E+15,2007554154,130,Y101,AKB331,1,,L2Q00,4509259098,4509259098,C2Q00012,IN,10/3/2021,,,1009,AKB331-M030,YAS,3U12,2007554215,130,9/7/2021,9/23/2021,,,
1.01E+15,2007655020,50,Y101,NTPC030,1,,L2Q00,4509378490,4509378490,C2Q00012,IN,9/15/2021,9/8/2021,,1022,NTPC030-S11-AD1,,,,,,9/8/2021,,9/3/2021,
1.01E+15,2007679328,10,Y101,ANB11D,1,,L2Q00,4509409957,4509409957,C2Q00012,IN,9/26/2021,,,1009,ANB11D-225/BU2A,YAS,3U12,2007679470,10,8/27/2021,9/16/2021,9/13/2021,,Available
1.01E+15,2007679328,20,Y101,ANT401,2,,L2Q00,4509409957,4509409957,C2Q00012,IN,9/28/2021,,,1009,ANT401-5E/CU1T,YAS,3U12,2007679470,20,8/31/2021,9/20/2021,9/13/2021,,Available
1.01E+15,2007679328,30,Y101,ANB10D,1,,L2Q00,4509409957,4509409957,C2Q00012,IN,9/26/2021,,,1009,ANB10D-425/CU2T,YAS,3U12,2007679470,30,8/27/2021,9/16/2021,9/13/2021,,Available
1.01E+15,2007679328,40,Y101,ANB10D,1,,L2Q00,4509409957,4509409957,C2Q00012,IN,9/26/2021,,,1009,ANB10D-425/CU2N,YAS,3U12,2007679470,40,8/27/2021,9/16/2021,9/10/2021,,Available
1.01E+15,2007679328,50,Y101,ADV161,2,,L2Q00,4509409957,4509409957,C2Q00012,IN,12/20/2021,,,1009,ADV161-P50,YAS,3U12,2007679470,50,,12/10/2021,,,
1.01E+15,2007679328,60,Y101,ADV561,2,,L2Q00,4509409957,4509409957,C2Q00012,IN,12/20/2021,,,1009,ADV561-P50,YAS,3U12,2007679470,60,,12/10/2021,,,
1.01E+15,2007679328,70,Y101,AAB841,4,,L2Q00,4509409957,4509409957,C2Q00012,IN,9/20/2021,,,1009,AAB841-S50/M4A00,YAS,3U12,2007679470,70,8/31/2021,9/10/2021,9/8/2021,,Available
1.01E+15,2007679328,80,Y101,AAV141,6,,L2Q00,4509409957,4509409957,C2Q00012,IN,9/20/2021,,,1009,AAV141-S50/K4A00,YAS,3U12,2007679470,80,8/31/2021,9/10/2021,9/8/2021,,Available
1.01E+15,2007679328,90,Y101,AAR145,8,,L2Q00,4509409957,4509409957,C2Q00012,IN,9/20/2021,,,1009,AAR145-S50,YAS,3U12,2007679470,90,8/27/2021,9/10/2021,9/11/2021,,Available
1.01E+15,2007679328,100,Y101,YCB301,6,,L2Q00,4509409957,4509409957,C2Q00012,IN,9/20/2021,,,1009,YCB301-C020,YAS,3U12,2007679470,100,8/27/2021,9/10/2021,9/4/2021,,Available
1.01E+15,2007679328,110,Y101,VI702,2,,L2Q00,4509409957,4509409957,C2Q00012,IN,9/14/2021,9/13/2021,,1009,VI702,YAS,3U12,2007679470,110,8/27/2021,9/6/2021,9/3/2021,9/13/2021,Ship Out
1.01E+15,2007679328,120,Y101,KS1,5,,L2Q00,4509409957,4509409957,C2Q00012,IN,10/3/2021,,,1009,KS1-10*B,YAS,3U12,2007679470,120,9/7/2021,9/23/2021,,,
1.01E+15,2007679328,130,Y101,KS2,7,,L2Q00,4509409957,4509409957,C2Q00012,IN,9/25/2021,,,1009,KS2-10*B,YAS,3U12,2007679470,130,8/31/2021,9/15/2021,,,
1.01E+15,2007679328,140,Y101,KS8,9,,L2Q00,4509409957,4509409957,C2Q00012,IN,9/25/2021,,,1009,KS8-05*B,YAS,3U12,2007679470,140,8/31/2021,9/15/2021,,,
1.01E+15,2007679328,150,Y101,AKB337,10,,L2Q00,4509409957,4509409957,C2Q00012,IN,9/25/2021,,,1009,AKB337-M015,YAS,3U12,2007679470,150,8/31/2021,9/15/2021,,,
1.01E+15,2007657597,250,Y101,VP6F3100,5,,L2Q00,4509381807,4509381807,C2Q00012,IN,9/15/2021,9/13/2021,,1009,VP6F3100-V11,YAS,3U12,2007657538,250,8/26/2021,9/6/2021,9/6/2021,9/13/2021,Ship Out
1.01E+15,2007657597,260,Y101,VP6F1700,1,,L2Q00,4509381807,4509381807,C2Q00012,IN,9/15/2021,9/13/2021,,1009,VP6F1700-V11C01,YAS,3U12,2007657538,260,8/26/2021,9/6/2021,9/6/2021,9/13/2021,Ship Out
1.01E+15,2007657597,270,Y101,VP6F1700,2,,L2Q00,4509381807,4509381807,C2Q00012,IN,9/15/2021,9/13/2021,,1009,VP6F1700-V11C02,YAS,3U12,2007657538,270,8/26/2021,9/6/2021,9/6/2021,9/13/2021,Ship Out
1.01E+15,2007587812,40,Y101,VP6CUPG,1,,L2Q00,4509299903,4509299903,C2Q00012,IN,9/13/2021,9/13/2021,,1009,VP6CUPG-V11-AAGFEJF-AABCEAB-SP2,YAS,3U12,2007681519,10,8/27/2021,9/3/2021,9/3/2021,9/13/2021,Ship Out
1.01E+15,2007587812,50,Y101,VP6CKM,1,,L2Q00,4509299903,4509299903,C2Q00012,IN,9/13/2021,9/13/2021,,1009,VP6CKM-V11,YAS,3U12,2007681519,20,8/27/2021,9/3/2021,9/3/2021,9/13/2021,Ship Out
1.01E+15,2007587812,60,Y101,VP6H1150,1,,L2Q00,4509299903,4509299903,C2Q00012,IN,9/13/2021,9/13/2021,,1009,VP6H1150-V11N03T04,YAS,3U12,2007681519,30,8/27/2021,9/3/2021,9/3/2021,9/13/2021,Ship Out
1.01E+15,2007587812,70,Y101,VP6P6900,1,,L2Q00,4509299903,4509299903,C2Q00012,IN,9/13/2021,9/13/2021,,1009,VP6P6900-V11N01,YAS,3U12,2007681519,40,8/27/2021,9/3/2021,9/3/2021,9/13/2021,Ship Out
1.01E+15,2007587812,80,Y101,VP6P6910,1,,L2Q00,4509299903,4509299903,C2Q00012,IN,9/13/2021,9/13/2021,,1009,VP6P6910-V11,YAS,3U12,2007681519,50,8/27/2021,9/3/2021,9/3/2021,9/13/2021,Ship Out
1.01E+15,2007587812,90,Y101,LS1SN001,12,,L2Q00,4509299903,4509299903,C2Q00012,IN,9/10/2021,,,1092,LS1SN001-E01/AV,,,,,,9/10/2021,,,
1.01E+15,2007516729,550,Y101,VP6CPJT,1,,L2Q00,4509212769,4509212769,C2Q00012,IN,9/13/2021,9/13/2021,,1009,VP6CPJT-V11N01,YAS,3U12,2007681552,170,8/27/2021,9/3/2021,9/3/2021,9/13/2021,Ship Out
1.01E+15,2007516729,390,Y101,VP6CKM,1,,L2Q00,4509212769,4509212769,C2Q00012,IN,9/13/2021,9/13/2021,,1009,VP6CKM-V11,YAS,3U12,2007681552,10,8/27/2021,9/3/2021,9/3/2021,9/13/2021,Ship Out
1.01E+15,2007516729,400,Y101,VP6H1100,4,,L2Q00,4509212769,4509212769,C2Q00012,IN,9/13/2021,9/13/2021,,1009,VP6H1100-V11N02,YAS,3U12,2007681552,20,8/27/2021,9/3/2021,9/3/2021,9/13/2021,Ship Out
1.01E+15,2007516729,410,Y101,VP6E51AD,1,,L2Q00,4509212769,4509212769,C2Q00012,IN,9/13/2021,9/13/2021,,1009,VP6E51AD-V11N02,YAS,3U12,2007681552,30,8/27/2021,9/3/2021,9/3/2021,9/13/2021,Ship Out
1.01E+15,2007516729,420,Y101,VP6E5150,1,,L2Q00,4509212769,4509212769,C2Q00012,IN,9/13/2021,9/13/2021,,1009,VP6E5150-V11,YAS,3U12,2007681552,40,8/27/2021,9/3/2021,9/3/2021,9/13/2021,Ship Out
1.01E+15,2007516729,430,Y101,VP6H6530,1,,L2Q00,4509212769,4509212769,C2Q00012,IN,9/13/2021,9/13/2021,,1009,VP6H6530-V11,YAS,3U12,2007681552,50,8/27/2021,9/3/2021,9/3/2021,9/13/2021,Ship Out
1.01E+15,2007516729,440,Y101,VP6H2411,1,,L2Q00,4509212769,4509212769,C2Q00012,IN,9/13/2021,9/13/2021,,1009,VP6H2411-V11,YAS,3U12,2007681552,60,8/27/2021,9/3/2021,9/3/2021,9/13/2021,Ship Out
1.01E+15,2007516729,450,Y101,VP6H4410,1,,L2Q00,4509212769,4509212769,C2Q00012,IN,9/13/2021,9/13/2021,,1009,VP6H4410-V11N01,YAS,3U12,2007681552,70,8/27/2021,9/3/2021,9/3/2021,9/13/2021,Ship Out
1.01E+15,2007516729,460,Y101,VP6H4420,1,,L2Q00,4509212769,4509212769,C2Q00012,IN,9/13/2021,9/13/2021,,1009,VP6H4420-V11N01,YAS,3U12,2007681552,80,8/27/2021,9/3/2021,9/3/2021,9/13/2021,Ship Out
1.01E+15,2007516729,470,Y101,VP6H6510,1,,L2Q00,4509212769,4509212769,C2Q00012,IN,9/13/2021,9/13/2021,,1009,VP6H6510-V11,YAS,3U12,2007681552,90,8/27/2021,9/3/2021,9/3/2021,9/13/2021,Ship Out
1.01E+15,2007516729,480,Y101,VP6E5490,1,,L2Q00,4509212769,4509212769,C2Q00012,IN,9/13/2021,9/13/2021,,1009,VP6E5490-V11N01,YAS,3U12,2007681552,100,8/27/2021,9/3/2021,9/3/2021,9/13/2021,Ship Out
1.01E+15,2007516729,490,Y101,VP6E5420,1,,L2Q00,4509212769,4509212769,C2Q00012,IN,9/13/2021,9/13/2021,,1009,VP6E5420-V11N01,YAS,3U12,2007681552,110,8/27/2021,9/3/2021,9/3/2021,9/13/2021,Ship Out
1.01E+15,2007516729,500,Y101,VP6H4600,3,,L2Q00,4509212769,4509212769,C2Q00012,IN,9/13/2021,9/13/2021,,1009,VP6H4600-V11,YAS,3U12,2007681552,120,8/27/2021,9/3/2021,9/3/2021,9/13/2021,Ship Out
