SAP Linkage No,yhq Sales Order No,yhq Sales Order Item No,Item Entry Date,Order Type,Model,Qty,QIC Delivery Style,"Contractor
Corporate
ID",P/O  No.,"Customer's
P/O No.","Delivery
Customer
Id","End user
Country
Code","Estimated
FOB","yhq
Sales
Date
(On or about
Ship date)",Remarks,Ship Point,MS Code,Production Center,"Ship Point 
(ship from 
factory)",Order No,Item No,"Start
Manufacturing
Date","Instructed
Complete
Date","Complete
Date",Actual Date,"Current
Status"
2.00837E+15,2008519696,120,07-09-2022,Y101,AXG080,5,A,L2Q00,4510426735,PMC2200185,C2Q00000,IN,07-02-2023,27-03-2023,,1009,AXG080-CGSF2BA1AT212B-NNNNN/GRT/E01/T01/PM2/PT,YCS,5F12,2008519733,120,16-02-2023,30-01-2023,22-03-2023,27-03-2023,Ship Out
2.00837E+15,2008519696,130,07-09-2022,Y101,AXG4A,5,A,L2Q00,4510426735,PMC2200185,C2Q00000,IN,07-02-2023,27-03-2023,,1009,AXG4A-CSF2121JA11,YCS,5F12,2008519733,130,16-02-2023,30-01-2023,22-03-2023,27-03-2023,Ship Out
2.00837E+15,2008519696,140,07-09-2022,Y101,AX01C,5,,L2Q00,4510426735,PMC2200185,C2Q00000,IN,07-02-2023,27-03-2023,,1009,AX01C-C010,YCS,5F12,2008519733,140,13-01-2023,30-01-2023,28-01-2023,27-03-2023,Ship Out
2.00837E+15,2008519696,150,07-09-2022,Y101,AXG005,1,A,L2Q00,4510426735,PMC2200185,C2Q00000,IN,07-02-2023,27-03-2023,,1009,AXG005-CASF2BA1AH212B-1JA11/GRJ/GA/E01/T01/PM2,YCS,5F12,2008519733,150,06-02-2023,30-01-2023,11-03-2023,27-03-2023,Ship Out
2.00837E+15,2008519696,160,07-09-2022,Y101,AXG010,1,A,L2Q00,4510426735,PMC2200185,C2Q00000,IN,07-02-2023,27-03-2023,,1009,AXG010-CASF2BA1AH212B-1JA11/GRJ/GA/E01/T01/PM2,YCS,5F12,2008519733,160,30-01-2023,30-01-2023,27-02-2023,27-03-2023,Ship Out
2.00837E+15,2008519696,170,07-09-2022,Y101,AXG150,1,A,L2Q00,4510426735,PMC2200185,C2Q00000,IN,07-02-2023,,,1009,AXG150-CGSF2BA1AT212B-NNNNN/GRT/E01/T01/PM2/PT,YCS,5F12,2008519733,170,09-03-2023,30-01-2023,11-04-2023,,Available
2.00837E+15,2008519696,180,07-09-2022,Y101,AXG4A,1,A,L2Q00,4510426735,PMC2200185,C2Q00000,IN,07-02-2023,,,1009,AXG4A-CSF2121JA11,YCS,5F12,2008519733,180,10-03-2023,30-01-2023,11-04-2023,,Available
2.00837E+15,2008519696,190,07-09-2022,Y101,AX01C,1,,L2Q00,4510426735,PMC2200185,C2Q00000,IN,07-02-2023,27-03-2023,,1009,AX01C-C010,YCS,5F12,2008519733,190,13-01-2023,30-01-2023,19-01-2023,27-03-2023,Ship Out
2.00837E+15,2008519696,200,07-09-2022,Y101,AXG040,2,A,L2Q00,4510426735,PMC2200185,C2Q00000,IN,07-02-2023,27-03-2023,,1009,AXG040-CASF2BA1AT212B-1JA11/GRT/E01/T01/PM2/PT,YCS,5F12,2008519733,200,02-02-2023,30-01-2023,02-03-2023,27-03-2023,Ship Out
2.00837E+15,2008519696,230,07-09-2022,Y101,AXG040,1,A,L2Q00,4510426735,PMC2200185,C2Q00000,IN,07-02-2023,27-03-2023,,1009,AXG040-CGSF2BA1AT212B-NNNNN/GRT/E01/T01/PM2/PT,YCS,5F12,2008519733,230,02-02-2023,30-01-2023,07-03-2023,27-03-2023,Ship Out
2.00837E+15,2008519696,220,07-09-2022,Y101,AXG4A,1,A,L2Q00,4510426735,PMC2200185,C2Q00000,IN,07-02-2023,27-03-2023,,1009,AXG4A-CSF2121JA11,YCS,5F12,2008519733,220,06-02-2023,30-01-2023,07-03-2023,27-03-2023,Ship Out
2.00837E+15,2008519696,210,07-09-2022,Y101,AX01C,1,,L2Q00,4510426735,PMC2200185,C2Q00000,IN,07-02-2023,27-03-2023,,1009,AX01C-C010,YCS,5F12,2008519733,210,13-01-2023,30-01-2023,19-01-2023,27-03-2023,Ship Out
2.00837E+15,2008519696,240,07-09-2022,Y101,AXG025,2,A,L2Q00,4510426735,PMC2200185,C2Q00000,IN,07-02-2023,27-03-2023,,1009,AXG025-CASF2BA1AT212B-1JA11/GRT/E01/T01/PM2/PT,YCS,5F12,2008519733,240,07-02-2023,30-01-2023,06-03-2023,27-03-2023,Ship Out
2.00837E+15,2008519696,250,07-09-2022,Y101,AXG015,1,A,L2Q00,4510426735,PMC2200185,C2Q00000,IN,07-02-2023,27-03-2023,,1009,AXG015-CASF2BA1AT212B-1JA11/GRT/E01/T01/PM2,YCS,5F12,2008519733,250,28-01-2023,30-01-2023,18-02-2023,27-03-2023,Ship Out
2.00837E+15,2008519696,260,07-09-2022,Y101,AXG010,6,A,L2Q00,4510426735,PMC2200185,C2Q00000,IN,07-02-2023,27-03-2023,,1009,AXG010-CASF2BA1AT212B-1JA11/GRT/E01/T01/PM2,YCS,5F12,2008519733,260,31-01-2023,30-01-2023,11-03-2023,27-03-2023,Ship Out
2.00837E+15,2008519696,270,07-09-2022,Y101,AXG005,1,A,L2Q00,4510426735,PMC2200185,C2Q00000,IN,07-02-2023,,,1009,AXG005-CASF2BA1AT212B-1JA11/GRT/E01/T01/PM2,YCS,5F12,2008519733,270,28-01-2023,30-01-2023,25-03-2023,,Available
2.00837E+15,2008519696,280,07-09-2022,Y101,AXG005,1,A,L2Q00,4510426735,PMC2200185,C2Q00000,IN,07-02-2023,27-03-2023,,1009,AXG005-CASF2BA1AT212B-1JA11/GRT/GA/E01/T01/PM2,YCS,5F12,2008519733,280,29-01-2023,30-01-2023,23-02-2023,27-03-2023,Ship Out
2.00837E+15,2008519696,290,07-09-2022,Y101,AXG150,2,A,L2Q00,4510426735,PMC2200185,C2Q00000,IN,07-02-2023,,,1009,AXG150-CASF2BA1AV212B-1JA11/GRW/E01/T01/PM2/PT,YCS,5F12,2008519733,290,13-03-2023,30-01-2023,12-04-2023,,Available
2.00837E+15,2008519696,300,07-09-2022,Y101,AXG100,1,A,L2Q00,4510426735,PMC2200185,C2Q00000,IN,07-02-2023,27-03-2023,,1009,AXG100-CASF2BA1AV212B-1JA11/GRW/E01/T01/PM2/PT,YCS,5F12,2008519733,300,31-01-2023,30-01-2023,23-02-2023,27-03-2023,Ship Out
2.00837E+15,2008519696,310,07-09-2022,Y101,AXG050,1,A,L2Q00,4510426735,PMC2200185,C2Q00000,IN,07-02-2023,27-03-2023,,1009,AXG050-CASF2BA1AV212B-1JA11/GRW/E01/T01/PM2/PT,YCS,5F12,2008519733,310,02-02-2023,30-01-2023,28-02-2023,27-03-2023,Ship Out
2.00837E+15,2008588659,10,10-10-2022,Y102,SV2CPML,1,,L2Q00,4510508763,4510508763,C2Q00012,IN,27-06-2022,,,,SV2CPML-V1101-S1024,,,,,,,,,
2.00837E+15,2008396227,60,08-07-2022,Y101,AXG005,1,A,L2Q00,4510278897,PMF2200328,C2Q00000,IN,28-11-2022,28-01-2023,,1009,AXG005-CASJ2BA1AT212B-1JP21/GRT/SCT/SC/E01/T01,YCS,5F12,2008396259,60,27-10-2022,18-11-2022,12-01-2023,28-01-2023,Ship Out
2.00837E+15,2008396227,70,08-07-2022,Y101,AXG005,1,A,L2Q00,4510278897,PMF2200328,C2Q00000,IN,28-11-2022,28-01-2023,,1009,AXG005-CASJ2BA1AL212B-1JP21/GRL/SCT/SC/E01/T01,,,,,,18-11-2022,,28-01-2023,
2.00837E+15,2008396225,10,08-07-2022,Y101,FLXA21,1,A,L2Q00,4510278896,FPF2200407,C2Q00000,IN,11-02-2023,14-02-2023,,1009,FLXA21-D-P-D-CB-C1-NN-A-N-LA-N-NN/UM,YAS,3U12,2008396244,10,17-01-2023,01-02-2023,07-02-2023,14-02-2023,Ship Out
2.00837E+15,2008541475,10,16-09-2022,Y102,SV2CPML,1,,L2Q00,4510455138,4510455138,C2Q00012,IN,28-06-2022,,,,SV2CPML-V1105-S1136,,,,,,,,,
2.00837E+15,2008541475,20,23-09-2022,Y102,SV2CPML,1,,L2Q00,4510455138,4510455138,C2Q00012,IN,28-06-2022,,,,SV2CPML-V1105-S1131/1-S11,,,,,,,,,
2.00837E+15,2008541475,30,10-10-2022,Y102,SV2CPML,1,,L2Q00,4510455138,4510455138,C2Q00012,IN,28-06-2022,,,,SV2CPML-V1105-S1136,,,,,,,,,
2.00837E+15,2008541475,40,10-10-2022,Y102,SV2CPML,1,,L2Q00,4510455138,4510455138,C2Q00012,IN,28-06-2022,,,,SV2CPML-V1105-S1136,,,,,,,,,
2.00837E+15,2008541475,50,11-10-2022,Y102,SV2CPML,1,,L2Q00,4510455138,4510455138,C2Q00012,IN,28-06-2022,,,,SV2CPML-V1101-S1130,,,,,,,,,
2.00837E+15,2008404344,50,12-07-2022,Y101,GX90XA,1,A,L2Q00,4510288426,FMF2200379,C2Q00000,IN,27-10-2022,28-01-2023,,1009,GX90XA-10-U2N-3N,,,,,,19-10-2022,,28-01-2023,
2.00837E+15,2008404344,10,12-07-2022,Y101,GM10,2,A,L2Q00,4510288426,FMF2200379,C2Q00000,IN,27-10-2022,09-02-2023,,1009,GM10-1E0/C3/MT/MC,YCS,5F12,2008404704,10,15-01-2023,19-10-2022,18-01-2023,09-02-2023,Ship Out
2.00837E+15,2008541743,10,16-09-2022,Y102,SV2CPML,1,,L2Q00,4510455344,4510455344,C2Q00012,IN,28-06-2022,,,,SV2CPML-V1105-S1136,,,,,,,,,
2.00837E+15,2008541743,20,16-11-2022,Y102,SV2CPML,1,,L2Q00,4510455344,4510455344,C2Q00012,IN,28-06-2022,,,,SV2CPML-V1105-S1236/2-S12,,,,,,,,,
2.00837E+15,2008372967,10,28-06-2022,Y102,SV3NTMF100,1,,L2Q00,4510251640,4510251640,C2Q00012,IN,28-06-2022,,,,SV3NTMF100-S61-N,,,,,,,,,
2.00838E+15,2008396162,20,08-07-2022,Y101,AXG150,1,A,L2Q00,4510278868,FCF2200375,C2Q00000,IN,27-11-2022,09-02-2023,,1009,AXG150-GA000BA1AV212B-1JA11/GRV,YCS,5F12,2008396211,20,16-12-2022,17-11-2022,19-01-2023,09-02-2023,Ship Out
2.00838E+15,2008403641,70,12-07-2022,Y101,AXG150,1,A,L2Q00,4510288651,FDF2200464,C2Q00000,IN,04-12-2022,09-02-2023,,1009,AXG150-GG000CA1AL112B-NNNNN,YCS,5F12,2008404697,70,02-01-2023,25-11-2022,29-01-2023,09-02-2023,Ship Out
2.00838E+15,2008403641,80,12-07-2022,Y101,AXG4A,1,A,L2Q00,4510288651,FDF2200464,C2Q00000,IN,22-11-2022,09-02-2023,,1009,AXG4A-G000121JA11,YCS,5F12,2008404697,80,02-01-2023,09-11-2022,29-01-2023,09-02-2023,Ship Out
2.00838E+15,2008403641,100,12-07-2022,Y101,AXG150,1,A,L2Q00,4510288651,FDF2200464,C2Q00000,IN,04-12-2022,09-02-2023,,1009,AXG150-GG000CA1AV112B-NNNNN,YCS,5F12,2008404697,100,02-01-2023,25-11-2022,18-01-2023,09-02-2023,Ship Out
2.00838E+15,2008403641,110,12-07-2022,Y101,AXG4A,1,A,L2Q00,4510288651,FDF2200464,C2Q00000,IN,22-11-2022,09-02-2023,,1009,AXG4A-G000121JA11,YCS,5F12,2008404697,110,02-01-2023,09-11-2022,18-01-2023,09-02-2023,Ship Out
2.00838E+15,2008396172,10,08-07-2022,Y101,YS1700,1,A,L2Q00,4510278883,FBG2200856,C2Q00000,IN,06-02-2023,07-02-2023,,1009,YS1700-100,YMFK,5412,2008396117,10,29-12-2022,27-01-2023,09-01-2023,07-02-2023,Ship Out
2.00838E+15,2008447570,10,01-08-2022,Y101,AXG200,1,A,L2Q00,4510338543,FNG2200047,C2Q00000,IN,15-12-2022,13-02-2023,,1009,AXG200-GG000BE2AT212B-NNNNN/GRN,YCS,5F12,2008447613,10,15-12-2022,07-12-2022,31-01-2023,13-02-2023,Ship Out
2.00838E+15,2008447570,20,01-08-2022,Y101,AXG4A,1,A,L2Q00,4510338543,FNG2200047,C2Q00000,IN,08-12-2022,13-02-2023,,1009,AXG4A-G000121JA11,YCS,5F12,2008447613,20,16-12-2022,30-11-2022,31-01-2023,13-02-2023,Ship Out
2.00838E+15,2008447570,30,01-08-2022,Y101,AX01C,1,,L2Q00,4510338543,FNG2200047,C2Q00000,IN,08-12-2022,28-01-2023,,1009,AX01C-A010,,,,,,30-11-2022,,28-01-2023,
2.00838E+15,2008404894,10,12-07-2022,Y101,AXG200,1,A,L2Q00,4510289892,FKF2200261,C2Q00000,IN,01-01-2023,27-02-2023,,1009,AXG200-WG000CA1AH210B-NNNNN/GDN/PM/T01,YCS,5F12,2008404922,10,29-01-2023,22-12-2022,20-02-2023,27-02-2023,Ship Out
2.00838E+15,2008494767,10,25-08-2022,Y101,AXG050,1,A,L2Q00,4510395372,FKF2200260,C2Q00000,IN,03-01-2023,13-02-2023,,1009,AXG050-GA000BA1AV212B-1JA11/GRV,YCS,5F12,2008494852,10,10-01-2023,26-12-2022,01-02-2023,13-02-2023,Ship Out
2.00839E+15,2008404359,50,12-07-2022,Y101,GM10,2,A,L2Q00,4510289401,FPG2200428,C2Q00000,IN,27-10-2022,09-02-2023,,1009,GM10-2E0/C3/MT/MC,YCS,5F12,2008404705,50,15-01-2023,19-10-2022,18-01-2023,09-02-2023,Ship Out
2.00839E+15,2008404359,30,12-07-2022,Y101,GX90XA,26,A,L2Q00,4510289401,FPG2200428,C2Q00000,IN,27-10-2022,28-01-2023,,1009,GX90XA-10-U2N-CN,,,,,,19-10-2022,,28-01-2023,
2.00839E+15,2008404359,20,12-07-2022,Y101,GX90EX,6,A,L2Q00,4510289401,FPG2200428,C2Q00000,IN,27-10-2022,28-01-2023,,1009,GX90EX-02-TP1N-N,,,,,,19-10-2022,,28-01-2023,
2.00839E+15,2008386775,10,04-07-2022,Y102,SV3NTMP001,1,,L2Q00,4510266650,4510266650,C2Q00012,IN,04-07-2022,,,,SV3NTMP001-T11-10-R/WS01,,,,,,,,,
2.00839E+15,2008386775,20,04-07-2022,Y102,SV3NTMP001,1,,L2Q00,4510266650,4510266650,C2Q00012,IN,04-07-2022,,,,SV3NTMP001-T11-20-R/WS01,,,,,,,,,
2.00839E+15,2008386775,30,04-07-2022,Y102,SV3NTMF100,1,,L2Q00,4510266650,4510266650,C2Q00012,IN,04-07-2022,,,,SV3NTMF100-T61-R,,,,,,,,,
2.00839E+15,2008386775,40,04-07-2022,Y102,SV3NTMF100,1,,L2Q00,4510266650,4510266650,C2Q00012,IN,04-07-2022,,,,SV3NTMF100-T61-R,,,,,,,,,
2.00839E+15,2008386775,50,04-07-2022,Y102,SV3NTMF330,1,,L2Q00,4510266650,4510266650,C2Q00012,IN,04-07-2022,,,,SV3NTMF330-T11-R,,,,,,,,,
2.00839E+15,2008386775,60,04-07-2022,Y102,SV3NTMF330,1,,L2Q00,4510266650,4510266650,C2Q00012,IN,04-07-2022,,,,SV3NTMF330-T11-R,,,,,,,,,
2.00839E+15,2008468046,10,11-08-2022,Y102,SV2CPML,1,,L2Q00,4510359750,4510359750,C2Q00012,IN,05-07-2022,,,,SV2CPML-V1107-S1211,,,,,,,,,
2.00839E+15,2008422343,10,20-07-2022,Y101,GM10,1,A,L2Q00,4510309172,FMG2200395,C2Q00000,IN,07-11-2022,09-02-2023,,1009,GM10-1E0/C3/MT/MC,YCS,5F12,2008422382,10,16-01-2023,28-10-2022,19-01-2023,09-02-2023,Ship Out
2.00839E+15,2008422343,30,20-07-2022,Y101,GX90XA,1,A,L2Q00,4510309172,FMG2200395,C2Q00000,IN,07-11-2022,28-01-2023,,1009,GX90XA-10-U2N-CN,,,,,,28-10-2022,,28-01-2023,
2.00839E+15,2008389522,10,05-07-2022,Y102,SV2CPML,1,,L2Q00,4510271062,4510271062,C2Q00012,IN,05-07-2022,,,,SV2CPML-V1101-S1212/3-S12,,,,,,,,,
2.00839E+15,2008404374,10,12-07-2022,Y101,AXG150,1,A,L2Q00,4510289409,FLG2200346,C2Q00000,IN,15-12-2022,20-02-2023,,1009,AXG150-GG000BA1AH212B-NNNNN/GRH,YCS,5F12,2008404693,10,16-01-2023,07-12-2022,06-02-2023,20-02-2023,Ship Out
2.00839E+15,2008404374,20,12-07-2022,Y101,AXG4A,1,A,L2Q00,4510289409,FLG2200346,C2Q00000,IN,15-12-2022,20-02-2023,,1009,AXG4A-G000121JA11,YCS,5F12,2008404693,20,16-01-2023,07-12-2022,06-02-2023,20-02-2023,Ship Out
2.00839E+15,2008404374,30,12-07-2022,Y101,AX01C,1,,L2Q00,4510289409,FLG2200346,C2Q00000,IN,15-12-2022,28-01-2023,,1009,AX01C-C015,YCS,5F12,2008404693,30,29-11-2022,07-12-2022,03-12-2022,28-01-2023,Ship Out
2.00839E+15,2008392076,10,06-07-2022,Y102,SV3NTMC043,1,,L2Q00,4510274558,4510274558,C2Q00012,IN,06-07-2022,,,,SV3NTMC043-T11-A1-R,,,,,,,,,
2.00839E+15,2008392076,20,06-07-2022,Y102,SV3NTMC001,1,,L2Q00,4510274558,4510274558,C2Q00012,IN,06-07-2022,,,,SV3NTMC001-T11-SV01-R/WC01,,,,,,,,,
2.00839E+15,2008392076,30,06-07-2022,Y102,SV3NTMC010,1,,L2Q00,4510274558,4510274558,C2Q00012,IN,06-07-2022,,,,SV3NTMC010-T11-SV01-R/FDC1/WC10,,,,,,,,,
2.00839E+15,2008415777,10,18-07-2022,Y101,F3PU30,5,A,L2Q00,4510301980,FDG2200472,C2Q00000,IN,06-04-2023,28-03-2023,,1009,F3PU30-0S,YMFK,5412,2008415808,10,15-03-2023,27-03-2023,16-03-2023,28-03-2023,Ship Out
2.00839E+15,2008415777,20,18-07-2022,Y101,F3AD08,5,A,L2Q00,4510301980,FDG2200472,C2Q00000,IN,06-04-2023,22-03-2023,,1009,F3AD08-5R,YMFK,5412,2008415808,20,08-03-2023,14-03-2023,13-03-2023,22-03-2023,Ship Out
2.00839E+15,2008415777,30,18-07-2022,Y101,F3DA04,5,A,L2Q00,4510301980,FDG2200472,C2Q00000,IN,06-04-2023,14-03-2023,,1009,F3DA04-6R,YMFK,5412,2008415808,30,03-03-2023,20-03-2023,06-03-2023,14-03-2023,Ship Out
2.00839E+15,2008415777,40,18-07-2022,Y101,F3XP02,5,A,L2Q00,4510301980,FDG2200472,C2Q00000,IN,06-04-2023,14-03-2023,,1009,F3XP02-0H,YMFK,5412,2008415808,40,02-03-2023,14-03-2023,03-03-2023,14-03-2023,Ship Out
2.00839E+15,2008415777,50,18-07-2022,Y101,F3BU09,5,A,L2Q00,4510301980,FDG2200472,C2Q00000,IN,06-04-2023,28-03-2023,,1009,F3BU09-0N/D2,YMFK,5412,2008415808,50,13-03-2023,27-03-2023,14-03-2023,28-03-2023,Ship Out
2.00839E+15,2008415777,60,18-07-2022,Y101,F3WD64,5,A,L2Q00,4510301980,FDG2200472,C2Q00000,IN,06-04-2023,28-03-2023,,1009,F3WD64-3P,YMFK,5412,2008415808,60,16-03-2023,27-03-2023,20-03-2023,28-03-2023,Ship Out
2.00839E+15,2008394189,10,07-07-2022,Y102,SV2CPML,1,,L2Q00,4510276800,4510276800,C2Q00012,IN,07-07-2022,,,,SV2CPML-V1101-S1012,,,,,,,,,
2.00839E+15,2008595898,10,12-10-2022,Y101,YTA610,2,A,L2Q00,4510518290,FBF22M0818,C2Q00000,IN,05-02-2023,27-02-2023,,1009,YTA610-JA1A2DB/KU2,YCS,5F12,2008595984,10,14-02-2023,26-01-2023,16-02-2023,27-02-2023,Ship Out
2.00839E+15,2008507503,10,31-08-2022,Y101,YTA610,3,A,L2Q00,4510410787,FBG2200899,C2Q00000,IN,08-02-2023,06-03-2023,,1009,YTA610-JA1A2DB/KU2,YCS,5F12,2008507633,10,22-02-2023,31-01-2023,24-02-2023,06-03-2023,Ship Out
2.00839E+15,2008507503,20,31-08-2022,Y101,YTA610,3,A,L2Q00,4510410787,FBG2200899,C2Q00000,IN,08-02-2023,06-03-2023,,1009,YTA610-JA1A2DB/KU2,YCS,5F12,2008507633,20,22-02-2023,31-01-2023,24-02-2023,06-03-2023,Ship Out
2.00839E+15,2008507503,30,31-08-2022,Y101,AXG025,1,A,L2Q00,4510410787,FBG2200899,C2Q00000,IN,01-05-2023,14-04-2023,,1009,AXG025-GA000EA4AZZ12B-2JA11/MU,YCS,5F12,2008507634,10,27-02-2023,21-04-2023,07-04-2023,14-04-2023,Ship Out
2.0084E+15,2008741154,20,20-12-2022,Y101,F9197UF,1,,L2Q00,4510697880,4510697880,C2Q00000,IN,22-02-2023,13-02-2023,,1022,F9197UF,YMG,5826,2008741201,20,20-12-2022,14-02-2023,31-01-2023,07-02-2023,Ship Out
2.0084E+15,2008396953,10,08-07-2022,Y113,L4041AJ,4,,L2Q00,QR202206YIL_0007,QR202206YIL_0007,C2Q00000,IN,13-08-2022,,,1009,L4041AJ,,,,,,27-07-2022,,29-07-2022,
2.0084E+15,2008438307,290,27-07-2022,Y101,AXG050,1,A,L2Q00,4510328309,FVG22M0097,C2Q00000,IN,05-01-2023,20-02-2023,,1009,AXG050-GG000BA1AP212B-NNNNN/GRL/Z,YCS,5F12,2008438365,140,11-01-2023,28-12-2022,09-02-2023,20-02-2023,Ship Out
